S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Cosme Farma Laboratories Ltd (CFL Pharmaceuticals Ltd),Mazoral (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.75,0.18
2,Aronex Life Sciences Pvt. Ltd.,CV Sprin (75 mg) (Aronex),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.94,0.19
3,Cadila Pharmaceuticals Ltd.,Cv Sprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,1.94,0.19
4,Intas Pharmaceuticals Ltd.,Sprintas (75 mg),Tablet    ,1 Tablet,Acetyl Salicylic Acid-75 mg,28 Tablet,5.72,0.2
5,Comed Chemicals Pvt Ltd,Asicom (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,140 Tablet,30,0.21
6,Unisearch (Unichem Laboratories),Loprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.62,0.26
7,Cardicare (Micro Labs Ltd),Ascad (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.68,0.26
8,Aristo Pharmaceuticals Pvt Ltd.,Delisprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.77,0.27
9,USV Limited,Ecospirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.78,0.27
10,Three Dots Lifesciences,Aspidot (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,2.73,0.27
11,Zydus Medica (Zydus Cadila Healthcare Ltd),ASA (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.86,0.28
12,Alkem Laboratories Ltd,Sprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,3.91,0.28
13,USV-Corvette (US Vitamins Ltd),Ecosprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,4.12,0.29
14,Low Cost Standard Therapeutics (LOCOST),Aspirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,3,0.3
15,Emcure Pharmaceuticals Ltd.,Nusprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,3.91,0.39
16,Astra Zeneca Pharma India Limited,LDA (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7,0.5
17,Astra Zeneca Pharma India Limited,Low Dose Aspirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7.4,0.53
18,Astra Zeneca Pharma India Limited,Dispersible (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,7.81,0.56
19,Shreya Life Sciences Pvt. Ltd,Optaz (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,14 Tablet,8.47,0.61
20,Medley Pharmaceuticals Ltd.,Zosprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,6.5,0.65
21,Maitri Healthcare Pvt. Ltd.,M Spirin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,100 Tablet,67,0.67
22,Lincoln Pharmaceuticals Ltd,Alpyrin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,8.5,0.85
23,Mano (Orchid Chemicals & Pharmaceuticals Ltd.),Manospirin ER (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,13.3,1.33
24,Torrent Pharmaceuticals Ltd.,Vasoprin (75 mg),Tablet    ,1 Tablet,Aspirin-75 mg,10 Tablet,42.5,4.25
