S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Intas Laboratories Pvt Ltd,Betni Tab (4 mg),Tablet    ,1 Tablet,Betamethasone-4 mg,10 Tablet,3.48,0.35
2,Unicure (India) Pvt.Ltd.,Triamcinolone (4 mg),Tablet    ,1 Tablet,Triamcinolone-4 mg,10 Tablet,3.75,0.38
3,Zee Laboratories Ltd,Pree M (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,4.9,0.49
4,Venus Remedies,Mega Pred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,11.4,1.14
5,J.B. Chemicals & Pharmaceuticals Ltd.,Dispred DT (4 mg),Tablet    ,1 Tablet,Prednisolone-4 mg,10 Tablet,11.86,1.19
6,Arvincare,Avpred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,120 Tablet,142.32,1.19
7,Mankind Pharmaceuticals Pvt. Ltd.,Nucort M (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,12.19,1.22
8,Gratia (Micro Labs Ltd),Predace (4 mg),Tablet    ,1 Tablet,Prednisolone-4 mg,10 Tablet,12.55,1.26
9,Piramal Healthcare,Nicort (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,12.99,1.3
10,Themis Medicare Ltd.,Pericort (4 mg),Tablet    ,1 Tablet,Triamcinolone-4 mg,10 Tablet,19.19,1.92
11,Cadila Healthcare (Zydus Cadila Healthcare Ltd),Tricort (4 mg),Tablet    ,1 Tablet,Triamcinolone-4 mg,10 Tablet,21,2.1
12,Merind Ltd (Wockhardt Ltd),Decdak (4 mg),Tablet    ,1 Tablet,Dexamethasone-4 mg,10 Tablet,21.8,2.18
13,GMD Pharmaceuticals,Trilone (4 mg),Tablet    ,1 Tablet,Triamcinolone-4 mg,10 Tablet,23,2.3
14,Sun Pharmaceutical Industries Ltd.,Zempred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,27.5,2.75
15,Sun Pharmaceutical Industries Ltd.,Predmet (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,27.5,2.75
16,Sun Pharmaceutical Industries Ltd.,Ivepred (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,29.5,2.95
17,Trumac Healthcare,Medicort (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,30,3
18,Globela Pharma Pvt. Ltd.,Dexacee,Tablet    ,1 Tablet,Dexamethasone-4 mg ,10 Tablet,30,3
19,N.B. Healthcare,Prelonb (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,30.7,3.07
20,Rasco Life Sciences,Mypred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,31,3.1
21,Orion Biotech Pvt. Ltd.,Predon M (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,31,3.1
22,Aronex Life Sciences Pvt. Ltd.,Lumi M (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,31.1,3.11
23,Saviour Speciality,Hysone (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,32,3.2
24,Meridian Medicare Ltd.,Mericort (4 mg),Tablet    ,1 Tablet,Triamcinolone-4 mg,10 Tablet,32,3.2
25,Human Life Sciences,Solulife (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,33,3.3
26,Venus Remedies,Solu Cort (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,33.65,3.37
27,BMW Pharmaco India Pvt Ltd,Nayapred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,100 Tablet,337,3.37
28,Lupin Laboratories Ltd.,Sterio (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,34.4,3.44
29,Zenon Healthcare,Zencort M (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,34.5,3.45
30,Thurs Pharmaceuticals,Betmet (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,35,3.5
31,Neiss Labs Pvt.Ltd.,Nispred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,36,3.6
32,Grampus Laboratories,GMP (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,37,3.7
33,Multicure (Laborate Pharmaceuticals India Ltd.),Labsolon (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,37.5,3.75
34,Psychotropics India Limited,Melsone (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,37.5,3.75
35,Ultra Chiron Pharma Pvt Ltd,Ultrapred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,37.8,3.78
36,Quadriga Biotech Pvt Ltd,Rigapred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,37.8,3.78
37,Quixotic Pharma (P) Ltd.,Qupred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,37.8,3.78
38,Magnet Labs Pvt Ltd (Mankind Pharmaceuticals Pvt. Ltd),Cambisol (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,38,3.8
39,Meridian Medicare Ltd.,Meripred (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,38,3.8
40,Magnet Labs Pvt Ltd (Mankind Pharmaceuticals Pvt. Ltd),Cortinet M (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,38,3.8
41,Gnosis Pharmaceuticals (P) Ltd,Prednosis (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,39,3.9
42,CE-Biotec (P) Ltd.,SScort (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg ,10 Tablet,39,3.9
43,Shalman Pharmaceuticals Pvt. Ltd.,Meplon (4 mg),Tablet    ,1 Tablet,Methyl Prednisolone-4 mg,10 Tablet,39,3.9
44,Lancer Pharmaceuticals (P) Ltd.,Elpred M (4 mg),Tablet    ,1 Tablet,Methylprednisolone-4 mg,10 Tablet,39.5,3.95
45,Critical Care (Cipla Ltd),Melpred (4 mg),Tablet    ,1 Tablet,Prednisolone-4 mg,10 Tablet,39.52,3.95
