S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Acron Pharmaceuticals,Rifacron Kid (100+100),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-100 mg,,121,1.21
,,,,,,,,
2,Osho Pharma Pvt.Ltd.,Osorifa Plus Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,12.31,1.23
,,,,,,,,
3,Suzikem Drugs Pvt. Ltd.,Ripcox Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,13,1.3
,,,,,,,,
4,Elikem Pharmaceuticals Pvt. Ltd.,Ripim Plus Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,13,1.3
,,,,,,,,
5,Jarson Pharmaceuticals,Recox Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14,1.4
,,,,,,,,
6,Hamax Pharmaceuticals,Rinex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14,1.4
,,,,,,,,
7,SBP Health Care Pvt.Ltd,Isorif Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14,1.4
,,,,,,,,
8,Asian Pharmaceuticals Pvt. Ltd.,NKT Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14,1.4
,,,,,,,,
9,Unichem Laboratories Ltd.,Anticox II Kid (100+100),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-100 mg,,14.09,1.41
,,,,,,,,
10,Lupin Laboratories Ltd.,Rcinex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14.2,1.42
,,,,,,,,
11,Euphoric Pharmaceuticals Pvt.Ltd.,Eufacin INH Kid (100+100),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-100 mg,,14.2,1.42
,,,,,,,,
12,Bal Pharma Limited,R Zid DT (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14.36,1.44
,,,,,,,,
13,Zee Laboratories Ltd,Isocin Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,290,1.45
,,,,,,,,
14,Stanford Biotech Pvt. Ltd,Stanex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14.5,1.45
,,,,,,,,
15,Lupin Laboratories Ltd.,R Cinex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14.6,1.46
,,,,,,,,
16,Bestochem Formulations (India) Ltd.,Rifanex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,14.66,1.47
,,,,,,,,
17,Alde Medi Impex Ltd.,Denex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,15,1.5
,,,,,,,,
18,Cipla Limited,Rifex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,15.36,1.54
,,,,,,,,
19,Rextar (Ranbaxy Laboratories Ltd),Tibirim INH Distab (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,15.68,1.57
,,,,,,,,
20,Biocin Genetics & Pharma,Bionex Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,166,1.66
,,,,,,,,
21,Talent Laboratories,Tbcidal Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,185,1.85
,,,,,,,,
22,Densa Pharmaceuticals Pvt.Ltd.,Mycocin Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,19,1.9
,,,,,,,,
23,Prayas Pharmaceuticals,Rizide Kid (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,250,2.5
,,,,,,,,
24,Pramukh Swami Pharma Ltd.,Nilcox SS (100+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-100 mg,,18,4.5
,,,,,,,,
