S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Cyper Pharma,Cipalgin (500 mg),Tablet    ,1 Tablet,Analgin-500 mg,10 Tablet,5.7,0.57
2,Sanofi Aventis,Baralgan M (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,7.55,0.76
3,Sun Pharmaceutical Industries Ltd.,Metnimez (500 mg),Tablet    ,1 Tablet,Dipyrone (Metamizol)-500 mg,10 Tablet,25,2.5
4,SPM Drugs Pvt. Ltd.,Pyregin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,22,0.73
5,Oboi Laboratories (Ciron Drugs & Pharmaceuticals Pvt Ltd),Obralgin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,23,0.77
6,Wyeth Ltd.,Ultragin (15 gm),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,30 ml,24.08,0.8
7,SPM Drugs Pvt. Ltd.,Pyregin (2.5 gm),Injection    ,1 ml,Analgin-500 mg,5 ml,4.5,0.9
8,Tribhawan Injectables,Algin (15 gm),Injection    ,1 ml,Analgin-500 mg,30 ml,28.32,0.94
9,Sanofi Aventis,Baralgan M (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.34,1.67
10,SPM Drugs Pvt. Ltd.,Pyregin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,3.5,1.75
11,Wyeth Ltd.,Ultragin (1000 mg),Injection    ,1 ml,Dipyrone (Metamizol)-500 mg,2 ml,3.55,1.78
12,Tribhawan Injectables,Algin (1 gm),Injection    ,1 ml,Analgin-500 mg,2 ml,4.52,2.26
13,Alpa Laboratories Ltd,Alpagin (500 mg),Injection    ,1 ml,Analgin-500 mg,1 ml,24,24
