S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Finecure Pharmaceuticals Ltd,Thamit IPR,Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg+Ethambutol-400 mg,,36,0.9
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,Lupin Laboratories Ltd.,R Cinex EZ,Tablet    ,1 Tablet,Ethambutol-400 mg+Rifampicin-225 mg+Isoniazid-150 mg+Pyrazinamide-750 mg,,38.3,6.38
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,Macleods Pharmaceuticals Pvt Ltd.,Forecox,Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg+Ethambutol-400 mg,,38.31,6.39
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,Themis Medicare Ltd.,Tetracox,Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg+Ethambutol-400 mg,,67.69,6.77
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,Stanford Biotech Pvt. Ltd,Stanex 4,Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg+Ethambutol-400 mg,,209.5,6.98
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,IPCA Laboratories Ltd.,Gocox 3,Tablet    ,1 Tablet,Isoniazid-150 mg+Rifampicin-225 mg+Pyrazinamide-750 mg+Ethambutol-400 mg,,14.75,7.38
,,,,,,,,
,,,,,,,,
,,,,,,,,
7,Indilina Pharmaceuticals,Mycotube Plus,Tablet    ,1 Tablet,Ethambutol-400 mg+Rifampicin-225 mg+Pyrazinamide-750 mg+Isoniazid-150 mg,,47.9,7.98
,,,,,,,,
,,,,,,,,
,,,,,,,,
8,Geneka Healthcare,Cure 4,Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg+Ethambutol-400 mg,,435,72.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,Themis Medicare Ltd.,Tetracox (Kit),Kit   ,1 Kit,Ethambutol-400 mg+Isoniazid-150 mg+Rifampicin-225 mg+Pyrazinamide-750 mg,,17.29,17.29
,,,,,,,,
,,,,,,,,
,,,,,,,,
