S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,East African (I) Remedies Pvt Ltd,Rufanex P (10+300+450),Tablet    ,1 Tablet,Pyridoxine-10 mg+Isoniazid-300 mg+Rifampicin-450 mg,,50,5
,,,,,,,,
,,,,,,,,
2,Concept Pharmaceuticals Ltd.,Rifa Adult Tab (100+300+450),Tablet    ,1 Tablet,Pyridoxine-10 mg+Isoniazid-300 mg+Rifampicin-450 mg,,53.9,5.39
,,,,,,,,
,,,,,,,,
3,Finecure Pharmaceuticals Ltd,Rifit IB (10+300+450),Tablet    ,1 Tablet,Pyridoxine-10 mg+Isoniazid-300 mg+Rifampicin-450 mg,,70.2,7.02
,,,,,,,,
,,,,,,,,
4,Overseas Health Care Pvt. Ltd.,Becox RH (450+300+10),Tablet    ,1 Tablet,Pyridoxine-10 mg+Isoniazid-300 mg+Rifampicin-450 mg,,75,7.5
,,,,,,,,
,,,,,,,,
