S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Merind Ltd (Wockhardt Ltd),Deca Forte (1 mg),Tablet    ,1 Tablet,Dexamethasone-1 mg,10 Tablet,3.95,0.4
2,Pfizer Limited (Pharmacia India Pvt Ltd),Betacortril Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,4.72,0.47
3,Glaxo Smithkline Pharmaceuticals Ltd.,Betnecip FC (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,5.1,0.51
4,Glaxo Smithkline Pharmaceuticals Ltd.,Betnelan FC (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,5.1,0.51
5,Ind-Swift Limited,Stemin Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,5.1,0.51
6,Medopharm,Betsone DS (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,5.14,0.51
7,Lupin Laboratories Ltd.,Solubet (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,6.12,0.61
8,Glaxo Smithkline Pharmaceuticals Ltd.,Betnesol Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,20 Tablet,13.3,0.67
9,Comed Chemicals Pvt Ltd,Belar Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,6.75,0.68
10,Micro Labs Ltd,Cortil FC (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,6.97,0.7
11,Rax Health Care Pvt. Ltd.,Betarax (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,7.2,0.72
12,Casca Remedies Pvt Ltd.,Ascort-Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,7.8,0.78
13,Glaxo Smithkline Pharmaceuticals Ltd.,Betnesol FC (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,7.88,0.79
14,Mefro Pharmaceuticals Pvt Ltd,Betaforte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,8,0.8
15,Franklin Laboratories (P) Ltd.,Betachlor Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,8,0.8
16,Unimarck Pharma (India) Limited,Betamine Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,8.6,0.86
17,Kim Laboratories Pvt Ltd.,Alerkim Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,8.67,0.87
18,Synokem Pharmaceuticals Ltd,Syncort forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,8.95,0.9
19,Dial Pharmaceuticals Pvt. Ltd.,Betasone Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,9,0.9
20,Mefro Pharmaceuticals Pvt Ltd,Beta (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg ,10 Tablet,11.9,1.19
21,Rhombus Pharma Private Limited,Zobet Forte (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,100 Tablet,129,1.29
22,Pramukh Swami Pharma Ltd.,Betasole Fort (1 mg),Tablet    ,1 Tablet,Betamethasone-1 mg,10 Tablet,14,1.4
