S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Marc Laboratories Pvt. Ltd.,Exact 2 (150+75),Tablet    ,1 Tablet,Isoniazid-75 mg+Rifampicin-150 mg,,15.51,1.55
,,,,,,,,
2,Panacea Biotec Ltd,Xeed 2 (75+150),Tablet    ,1 Tablet,Rifampicin-150 mg+Isoniazid-75 mg,,9.42,1.57
,,,,,,,,
3,Maneesh Healthcare (Maneesh Pharmaceuticals Ltd),SCC JR (150+75),Tablet    ,1 Tablet,Isoniazid-75 mg+Rifampicin-150 mg,,16.63,1.66
,,,,,,,,
4,Sandoz (Novartis India Ltd),Rimmax 2F DC (75+150),Tablet    ,1 Tablet,Rifampicin-150 mg+Isoniazid-75 mg,,19.13,1.91
,,,,,,,,
5,Themis Medicare Ltd.,Ticinex (75+150),Tablet    ,1 Tablet,Isoniazid-75 mg+Rifampicin-150 mg,,117.4,1.96
,,,,,,,,
6,Lupin Laboratories Ltd.,Akurit (75+150),Tablet    ,1 Tablet,Isoniazid-75 mg+Rifampicin-150 mg,,12,2
,,,,,,,,
