S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Overseas Health Care Pvt. Ltd.,RHZ Kid Forte (500+100+150),Tablet    ,1 Tablet,Rifampicin-150 mg+Isoniazid-100 mg+Pyrazinamide-500 mg,,25.09,2.51
,,,,,,,,
,,,,,,,,
2,Lupin Laboratories Ltd.,Rinizide Forte DT (500+100+150),Tablet    ,1 Tablet,Isoniazid-100 mg+Pyrazinamide-500 mg+Rifampicin-150 mg,,26.65,2.67
,,,,,,,,
,,,,,,,,
3,Osho Pharma Pvt.Ltd.,Orif 3 (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,27.5,2.75
,,,,,,,,
,,,,,,,,
4,Hamax Pharmaceuticals,Rinex Z (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,36.3,3.63
,,,,,,,,
,,,,,,,,
5,Jarson Pharmaceuticals,Recox Z (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,36.3,3.63
,,,,,,,,
,,,,,,,,
6,Pharmed Limited,Riphaldina Z (500+100+150),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-150 mg+Pyrazinamide-500 mg,,36.9,3.69
,,,,,,,,
,,,,,,,,
7,Euphoric Pharmaceuticals Pvt.Ltd.,Eufazid (500+100+100),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Rifampicin-150 mg+Isoniazid-100 mg,,11.18,3.73
,,,,,,,,
,,,,,,,,
8,Sunij Pharma Pvt Ltd,RF 3 (500+100+150),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-150 mg+Pyrazinamide-500 mg,,41.66,4.17
,,,,,,,,
,,,,,,,,
9,Alkem Laboratories Ltd,Coxter 3FD (500+150+100),Tablet    ,1 Tablet,Isoniazid-100 mg+Rifampicin-150 mg+Pyrazinamide-500 mg,,45,4.5
,,,,,,,,
,,,,,,,,
10,Medi Rose,Tibizim Forte (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,468,4.68
,,,,,,,,
,,,,,,,,
11,Mediwin Pharmaceuticals,Rifacil 3 (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,49,4.9
,,,,,,,,
,,,,,,,,
12,Aan Pharma Pvt Ltd,T Kox (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,49,4.9
,,,,,,,,
,,,,,,,,
13,Chemo Drugs,Tubachem PZ (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,51,5.1
,,,,,,,,
,,,,,,,,
14,Acron Pharmaceuticals,Rifacron 3 (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,525,5.25
,,,,,,,,
,,,,,,,,
15,Kopran Pharma Ltd,Rifinex Plus (500+100+150),Tablet    ,1 Tablet,Rifampicin-150 mg+Isoniazid-100 mg+Pyrazinamide-500 mg,,32.45,5.41
,,,,,,,,
,,,,,,,,
16,Shreya Life Sciences Pvt. Ltd,Montorip (500+100+150),Capsule    ,1 Capsule,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,18.78,4.7
,,,,,,,,
,,,,,,,,
17,Shreya Life Sciences Pvt. Ltd,Torip (500+100+150),Capsule    ,1 Capsule,Pyrazinamide-500 mg+Isoniazid-100 mg+Rifampicin-150 mg,,47,4.7
,,,,,,,,
,,,,,,,,
