S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Protec (Cipla Ltd),Theobid (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,15 Tablet,13.41,0.89
2,Alembic Chemical Works Co Ltd,Theo SR (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,9.98,1
3,USV-Corvette (US Vitamins Ltd),Broncordil XL (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,10.4,1.04
4,Yash Pharma Laboratories Limited,Lungfyl SR (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,13,1.3
5,Gloss Pharmaceuticals Pvt. Ltd.,Tglo (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,15,1.5
6,Wockhardt Ltd.,Phylobid (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,16.32,1.63
7,Tas Med (I) Pvt. Ltd.,Theotas (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,18,1.8
8,Talent Laboratories,Theotab SR (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,100 Tablet,190,1.9
9,Bestochem Formulations (India) Ltd.,TSR (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,22,2.2
10,Gloss Pharmaceuticals Pvt. Ltd.,Glotab,Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,35,3.5
11,Globus Remedies Ltd,Theobus (200 mg),Tablet    ,1 Tablet,Theophylline-200 mg,10 Tablet,35,3.5
12,Stancare (Ranbaxy Laboratories Ltd),Theostan CR (200 mg),Capsule    ,1 Capsule,Theophylline-200 mg,10 Capsule,13,1.3
13,Raptakos Brett & Co. Ltd.,Duralyn CR (200 mg),Capsule    ,1 Capsule,Theophylline-200 mg,10 Capsule,27,2.7
