S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Overseas Health Care Pvt. Ltd.,Bicox Kid (100+50),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,10.22,1.02
,,,,,,,,
2,Medispan Limited.,Antibin Kid (100+50),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,10.26,1.03
,,,,,,,,
3,Plethico Pharmaceuticals,Montonex Kid (100+50),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,11,1.1
,,,,,,,,
4,Themis Medicare Ltd.,Ticinex Kid (50+100),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-50 mg,,11.37,1.14
,,,,,,,,
5,Macleods Pharmaceuticals Pvt Ltd.,Macox Plus (50+100),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,11.73,1.17
,,,,,,,,
6,Novartis India Ltd,Rimactazid DT (100+50),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,12.97,1.3
,,,,,,,,
7,Eden Healthcare,Rifaden Kid (50+100),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,13,1.3
,,,,,,,,
8,Marc Laboratories Pvt. Ltd.,Coxwin Kid (100+50),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,13.13,1.31
,,,,,,,,
9,Biological Evans Ltd,Binex DT (100+50),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-50 mg,,13.26,1.33
,,,,,,,,
10,Lyka Hetero Healthcare Ltd.,Rimpinah KT (100+50),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-50 mg,,14.63,1.46
,,,,,,,,
11,Troikaa Pharmaceuticals Ltd.,Optirifa Plus (50+100),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,15,1.5
,,,,,,,,
12,Shreya Life Sciences Pvt. Ltd,Monto 2 KT (50+100),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-50 mg,,15.16,1.52
,,,,,,,,
13,Kresp (Kopran Pharma Ltd),Rininex Kid (50+100),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,15.43,1.54
,,,,,,,,
14,Kresp (Kopran Pharma Ltd),Rifinex Kid (50+100),Tablet    ,1 Tablet,Rifampicin-100 mg+Isoniazid-50 mg,,15.43,1.54
,,,,,,,,
15,Shrinivas (Gujarat) Laboratories Pvt. Ltd.,Vicox 2 Kid (100+50),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,168,1.68
,,,,,,,,
16,Lupin Laboratories Ltd.,Rcinex DT (50+100),Tablet    ,1 Tablet,Isoniazid-50 mg+Rifampicin-100 mg,,21.73,2.17
,,,,,,,,
