S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Lark Laboratories (India) Ltd.,Larprim Paed (100+20),Tablet    ,1 Tablet,Sulphamethoxazole -100 mg,10 Tablet,1.86,0.19
,,,,,Trimethoprim-20 mg,,,
2,Cyper Pharma,Trimethoprim & Sulphamethoxazable (100+20),Tablet    ,1 Tablet,Trimethoprim-20 mg,10 Tablet,1.9,0.19
,,,,,Sulphamethoxazole -100 mg,,,
3,Deys Medical Stores (Mfg) Ltd,Kombina (100+20),Tablet    ,1 Tablet,Sulphamethoxazole -100 mg,10 Tablet,1.9,0.19
,,,,,Trimethoprim-20 mg,,,
4,Glaxo Smithkline Pharmaceuticals Ltd.,Septran (100+20),Tablet    ,1 Tablet,Sulphamethoxazole -100 mg,10 Tablet,2.08,0.21
,,,,,Trimethoprim-20 mg,,,
5,Acron Pharmaceuticals,Trisuprim Kid (100+20),Tablet    ,1 Tablet,Trimethoprim-20 mg,200 Tablet,45,0.23
,,,,,Sulphamethoxazole -100 mg,,,
6,Acichem Laboratories,Trimethoprim & Sulpha (Paediatric) (100+20),Tablet    ,1 Tablet,Sulphamethoxazole -100 mg,1000 Tablet,250,0.25
,,,,,Trimethoprim-20 mg,,,
7,Abbott Healthcare Pvt Ltd (AHPL),Bactrim (100+20),Tablet    ,1 Tablet,Sulphamethoxazole -100 mg,10 Tablet,2.58,0.26
,,,,,Trimethoprim-20 mg,,,
8,Shreya Life Sciences Pvt. Ltd,Timizol P (100+20),Tablet    ,1 Tablet,Sulphamethoxazole -100 mg,10 Tablet,2.7,0.27
,,,,,Trimethoprim-20 mg,,,
9,Acron Pharmaceuticals,Trisuprim (15 ml),Drop    ,1 ml,Sulphamethoxazole -100 mg,15 ml,11,0.73
,,,,,Trimethoprim-20 mg,,,
