S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Finecure Pharmaceuticals Ltd,Thamit IPR,Tablet    ,1 Tablet,Pyrazinamide-750 mg,40 Tablet,36,0.9
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
,,,,,Ethambutol-400 mg,,,
2,Lupin Laboratories Ltd.,R Cinex EZ,Tablet    ,1 Tablet,Ethambutol-400 mg,6 Tablet,38.3,6.38
,,,,,Rifampicin-225 mg,,,
,,,,,Isoniazid-150 mg,,,
,,,,,Pyrazinamide-750 mg,,,
3,Macleods Pharmaceuticals Pvt Ltd.,Forecox,Tablet    ,1 Tablet,Pyrazinamide-750 mg,6 Tablet,38.31,6.39
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
,,,,,Ethambutol-400 mg,,,
4,Themis Medicare Ltd.,Tetracox,Tablet    ,1 Tablet,Pyrazinamide-750 mg,10 Tablet,67.69,6.77
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
,,,,,Ethambutol-400 mg,,,
5,Stanford Biotech Pvt. Ltd,Stanex 4,Tablet    ,1 Tablet,Pyrazinamide-750 mg,30 Tablet,209.5,6.98
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
,,,,,Ethambutol-400 mg,,,
6,IPCA Laboratories Ltd.,Gocox 3,Tablet    ,1 Tablet,Isoniazid-150 mg,2 Tablet,14.75,7.38
,,,,,Rifampicin-225 mg,,,
,,,,,Pyrazinamide-750 mg,,,
,,,,,Ethambutol-400 mg,,,
7,Indilina Pharmaceuticals,Mycotube Plus,Tablet    ,1 Tablet,Ethambutol-400 mg,6 Tablet,47.9,7.98
,,,,,Rifampicin-225 mg,,,
,,,,,Pyrazinamide-750 mg,,,
,,,,,Isoniazid-150 mg,,,
8,Geneka Healthcare,Cure 4,Tablet    ,1 Tablet,Pyrazinamide-750 mg,6 Tablet,435,72.5
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
,,,,,Ethambutol-400 mg,,,
9,Themis Medicare Ltd.,Tetracox (Kit),Kit   ,1 Kit,Ethambutol-400 mg,1 Kit,17.29,17.29
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
,,,,,Pyrazinamide-750 mg,,,
