S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Sarabhai Chemicals,Siticox INH (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg,3 Tablet,8.42,2.81
,,,,,Rifampicin-450 mg,,,
2,Medispan Limited.,Antibin (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,41.54,4.15
,,,,,Rifampicin-450 mg,,,
3,Agron Remedies Pvt Ltd (Agrogem),Tibrif INH (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg,10 Tablet,42,4.2
,,,,,Isoniazid-300 mg,,,
4,Medi Rose,Rifampirose Forte (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,100 Tablet,429,4.29
,,,,,Rifampicin-450 mg,,,
5,Overseas Health Care Pvt. Ltd.,Bicox (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,42.91,4.29
,,,,,Rifampicin-450 mg,,,
6,Merind Ltd (Wockhardt Ltd),Cavidin INH (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,44.1,4.41
,,,,,Rifampicin-450 mg,,,
7,Anikem Laboratories,Anicox (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg,10 Tablet,44.17,4.42
,,,,,Isoniazid-300 mg,,,
8,Acron Pharmaceuticals,Rifacron Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,46,4.6
,,,,,Rifampicin-450 mg,,,
9,Emcure Pharmaceuticals Ltd.,Zucox Z (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,46,4.6
,,,,,Rifampicin-450 mg,,,
10,Themis Medicare Ltd.,Ticinex (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,46.05,4.61
,,,,,Rifampicin-450 mg,,,
11,Shreya Life Sciences Pvt. Ltd,Monto 2 (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,46.25,4.63
,,,,,Rifampicin-450 mg,,,
12,Sunij Pharma Pvt Ltd,RF Compound (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg,10 Tablet,46.46,4.65
,,,,,Isoniazid-300 mg,,,
