S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Therawin Formulations,Sulphan SS (80+400),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,3,0.3
,,,,,Trimethoprim-80 mg,,,
2,Wings Pharmaceuticals (P) Ltd.,Wintrim (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,5.34,0.53
,,,,,Trimethoprim-80 mg,,,
3,Abbott Healthcare Pvt Ltd (AHPL),Bactrim (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,5.71,0.57
,,,,,Trimethoprim-80 mg,,,
4,Cipla Limited,Ciplin (400+80),Tablet    ,1 Tablet,Trimethoprim-80 mg,10 Tablet,5.83,0.58
,,,,,Sulphamethoxazole -400 mg,,,
5,Deys Medical Stores (Mfg) Ltd,Kombina (400+80),Tablet    ,1 Tablet,Trimethoprim-80 mg,10 Tablet,5.91,0.59
,,,,,Sulphamethoxazole -400 mg,,,
6,Aristo Pharmaceuticals Pvt Ltd.,Tabrol (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,5.91,0.59
,,,,,Trimethoprim-80 mg,,,
7,East India Pharmaceutical Works Ltd.,Colizole (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,5.92,0.59
,,,,,Trimethoprim-80 mg,,,
8,Tosc International Pvt Ltd.,Sepnil (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,6,0.6
,,,,,Trimethoprim-80 mg,,,
9,Franklin Laboratories (P) Ltd.,Trimex (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,6,0.6
,,,,,Trimethoprim-80 mg,,,
10,Reddy Pharmaceuticals Ltd.,Reoprim (80+400),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,6,0.6
,,,,,Trimethoprim-80 mg,,,
11,Osho Pharma Pvt.Ltd.,Osotrim (400+80),Tablet    ,1 Tablet,Sulphamethoxazole -400 mg,10 Tablet,6,0.6
,,,,,Trimethoprim-80 mg,,,
