S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Abbott Healthcare Pvt Ltd (AHPL),Antrima DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,8.98,0.9
,,,,,Trimethoprim-160 mg,,,
2,Suzikem Drugs Pvt. Ltd.,Warprim DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,10,1
,,,,,Trimethoprim-160 mg,,,
3,Deys Medical Stores (Mfg) Ltd,Kombina Forte (800+160),Tablet    ,1 Tablet,Trimethoprim-160 mg,10 Tablet,10.6,1.06
,,,,,Sulphamethoxazole -800 mg,,,
4,Generic (Cadila Pharmaceuticals Ltd.),CO Trimoxazole DS (800+160) (Generic),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,10.6,1.06
,,,,,Trimethoprim-160 mg,,,
5,East India Pharmaceutical Works Ltd.,Colizole DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,10.6,1.06
,,,,,Trimethoprim-160 mg,,,
6,Aristo Pharmaceuticals Pvt Ltd.,Tabrol DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,10.6,1.06
,,,,,Trimethoprim-160 mg,,,
7,Tosc International Pvt Ltd.,Sepnil DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11,1.1
,,,,,Trimethoprim-160 mg,,,
8,South India Research Institute Pvt Ltd,Bactostab DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11,1.1
,,,,,Trimethoprim-160 mg,,,
9,Osho Pharma Pvt.Ltd.,Osotrim DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11,1.1
,,,,,Trimethoprim-160 mg,,,
10,Franklin Laboratories (P) Ltd.,Trimex DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11,1.1
,,,,,Trimethoprim-160 mg,,,
11,Bevit Pharmaceuticals Ltd.,Salgatran (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.09,1.11
,,,,,Trimethoprim-160 mg,,,
12,Lark Laboratories (India) Ltd.,Larprim DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.12,1.11
,,,,,Trimethoprim-160 mg,,,
13,Intas Laboratories Pvt Ltd,Intrim DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.2,1.12
,,,,,Trimethoprim-160 mg,,,
14,Emcure Pharmaceuticals Ltd.,Septabid Forte (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.21,1.12
,,,,,Trimethoprim-160 mg,,,
15,Albert David Limited,Alcorim F (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.26,1.13
,,,,,Trimethoprim-160 mg,,,
16,Biochem Pharmaceutical Industrial Ltd,Otrim DT (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.35,1.14
,,,,,Trimethoprim-160 mg,,,
17,Elite Pharma Pvt Ltd,Eltiprim DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.36,1.14
,,,,,Trimethoprim-160 mg,,,
18,Patson Laboratories Pvt.Ltd.,Patrim DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.4,1.14
,,,,,Trimethoprim-160 mg,,,
19,Bombay Tablet Mfg Co,Rizol DS (800+160),Tablet    ,1 Tablet,Sulphamethoxazole -800 mg,10 Tablet,11.42,1.14
,,,,,Trimethoprim-160 mg,,,
