S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Marc Laboratories Pvt. Ltd.,Exact 2 (150+75),Tablet    ,1 Tablet,Isoniazid-75 mg,10 Tablet,15.51,1.55
,,,,,Rifampicin-150 mg,,,
2,Panacea Biotec Ltd,Xeed 2 (75+150),Tablet    ,1 Tablet,Rifampicin-150 mg,6 Tablet,9.42,1.57
,,,,,Isoniazid-75 mg,,,
3,Maneesh Healthcare (Maneesh Pharmaceuticals Ltd),SCC JR (150+75),Tablet    ,1 Tablet,Isoniazid-75 mg,10 Tablet,16.63,1.66
,,,,,Rifampicin-150 mg,,,
4,Sandoz (Novartis India Ltd),Rimmax 2F DC (75+150),Tablet    ,1 Tablet,Rifampicin-150 mg,10 Tablet,19.13,1.91
,,,,,Isoniazid-75 mg,,,
5,Themis Medicare Ltd.,Ticinex (75+150),Tablet    ,1 Tablet,Isoniazid-75 mg,60 Tablet,117.4,1.96
,,,,,Rifampicin-150 mg,,,
6,Lupin Laboratories Ltd.,Akurit (75+150),Tablet    ,1 Tablet,Isoniazid-75 mg,6 Tablet,12,2
,,,,,Rifampicin-150 mg,,,
