S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Overseas Health Care Pvt. Ltd.,RHZ Kid (300+50+100),Tablet    ,1 Tablet,Pyrazinamide-300 mg,10 Tablet,16.4,1.64
,,,,,Isoniazid-50 mg,,,
,,,,,Rifampicin-100 mg,,,
2,Shreya Healthcare P. Ltd.,Montorip Kid (300+100+50),Tablet    ,1 Tablet,Rifampicin-100 mg,10 Tablet,17.01,1.7
,,,,,Isoniazid-50 mg,,,
,,,,,Pyrazinamide-300 mg,,,
3,Macleods Pharmaceuticals Pvt Ltd.,Macox ZH DT (300+100+50),Tablet    ,1 Tablet,Pyrazinamide-300 mg,10 Tablet,21.32,2.13
,,,,,Isoniazid-50 mg,,,
,,,,,Rifampicin-100 mg,,,
4,Biological Evans Ltd,Binex Z DT (300+100+50),Tablet    ,1 Tablet,Rifampicin-100 mg,10 Tablet,22.72,2.27
,,,,,Isoniazid-50 mg,,,
,,,,,Pyrazinamide-300 mg,,,
