S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Concept Pharmaceuticals Ltd.,Coprime KF (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,5,0.5
,,,,,Trimethoprim-40 mg,,,
2,Oyster Labs Limited,Oysitrim Kid (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,5.9,0.59
,,,,,Trimethoprim-40 mg,,,
3,Pharmasynth Formulation Ltd,Trimcee Kid (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,6.6,0.66
,,,,,Trimethoprim-40 mg,,,
4,Blue Cross Laboratories Ltd.,Cosulf P (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,7.5,0.75
,,,,,Trimethoprim-40 mg,,,
5,Blue Cross Laboratories Ltd.,Cosulf (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,8,0.8
,,,,,Trimethoprim-40 mg,,,
6,Suzikem Drugs Pvt. Ltd.,Warprim PDS (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,16,1.6
,,,,,Trimethoprim-40 mg,,,
7,Klar Sehen Pharmaceuticals Pvt Ltd,Cotribid Kid (200+40),Tablet    ,1 Tablet,Sulphamethoxazole -200 mg,10 Tablet,23,2.3
,,,,,Trimethoprim-40 mg,,,
8,Medihands Pharmaceuticals,Hanprim (50 ml),Suspension    ,1 ml,Sulphamethoxazole -200 mg,50 ml,11,0.22
,,,,,Trimethoprim-40 mg,,,
9,Abbott Healthcare Pvt Ltd (AHPL),Bactrim (100 ml),Suspension    ,5 ml,Sulphamethoxazole -200 mg,100 ml,13,0.65
,,,,,Trimethoprim-40 mg,,,
10,Sunways India Pvt. Ltd.,Methoxol (50 ml),Suspension    ,5 ml,Sulphamethoxazole -200 mg,50 ml,7,0.7
,,,,,Trimethoprim-40 mg,,,
11,Agrawal Pharmaceuticals,Aptran (400 ml),Suspension    ,5 ml,Sulphamethoxazole -200 mg,400 ml,58,0.73
,,,,,Trimethoprim-40 mg,,,
12,Geno Pharmaceuticals Ltd.,Septinix (60 ml),Suspension    ,5 ml,Sulphamethoxazole -200 mg,60 ml,9.38,0.78
,,,,,Trimethoprim-40 mg,,,
