S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Radicura Pharmaceutical Pvt. Ltd.,Rifaplus Forte (300+600),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,53.66,5.37
,,,,,Rifampicin-600 mg,,,
2,Overseas Health Care Pvt. Ltd.,Bicox (300+600),Tablet    ,1 Tablet,Rifampicin-600 mg,10 Tablet,55.19,5.52
,,,,,Isoniazid-300 mg,,,
3,Intas Laboratories Pvt Ltd,Rifania (300+600),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,60,6
,,,,,Rifampicin-600 mg,,,
4,Elikem Pharmaceuticals Pvt. Ltd.,Ripim Plus (600+300),Tablet    ,1 Tablet,Isoniazid-300 mg,10 Tablet,60,6
,,,,,Rifampicin-600 mg,,,
5,Lupin Laboratories Ltd.,R Cinex Tab (300+600),Tablet    ,1 Tablet,Rifampicin-600 mg,3 Tablet,19.41,6.47
,,,,,Isoniazid-300 mg,,,
6,Novartis India Ltd,Rimactazid Plus (600+300),Tablet    ,1 Tablet,Isoniazid-300 mg,4 Tablet,25.9,6.48
,,,,,Rifampicin-600 mg,,,
7,Rextar (Ranbaxy Laboratories Ltd),Tibirim INH Forte (600+300),Tablet    ,1 Tablet,Rifampicin-600 mg,3 Tablet,21.06,7.02
,,,,,Isoniazid-300 mg,,,
8,Macleods Pharmaceuticals Pvt Ltd.,Macox Plus (600+300),Tablet    ,1 Tablet,Isoniazid-300 mg,6 Tablet,42.18,7.03
,,,,,Rifampicin-600 mg,,,
9,Lupin Laboratories Ltd.,R Cinex (300+600),Capsule    ,1 Capsule,Isoniazid-300 mg,3 Capsule,19.41,6.47
,,,,,Rifampicin-600 mg,,,
10,Lupin Laboratories Ltd.,Rcinex (300+600),Capsule    ,1 Capsule,Isoniazid-300 mg,3 Capsule,21.4,7.13
,,,,,Rifampicin-600 mg,,,
