S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Overseas Health Care Pvt. Ltd.,RHZ (500+150+225),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,31.7,3.17
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
2,Themis Chemicals Ltd.,Tricox (500+150+225),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,33.66,3.37
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
3,Sunij Pharma Pvt Ltd,RF 3 Forte (500+150+225),Tablet    ,1 Tablet,Rifampicin-225 mg,10 Tablet,44.56,4.46
,,,,,Isoniazid-150 mg,,,
,,,,,Pyrazinamide-500 mg,,,
4,Biocin Genetics & Pharma,Bionex PZ (500+225+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,100 Tablet,677,6.77
,,,,,Isoniazid-150 mg,,,
,,,,,Rifampicin-225 mg,,,
