S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Vidakem Lifesciences Pvt Ltd,Vedator AS (10+75),Tablet    ,1 Tablet,Atorvastatin-10 mg ,10 Tablet,17,1.7
,,,,,Aspirin-75 mg ,,,
2,Intas Pharmaceuticals Ltd.,Lipicure AS (75+10),Tablet    ,1 Tablet,Atorvastatin-10 mg,10 Tablet,18.12,1.81
,,,,,Aspirin-75 mg,,,
3,Blue Cross Laboratories Ltd.,Liponorm ASP (10+75),Tablet    ,1 Tablet,Atorvastatin-10 mg ,10 Tablet,19.5,1.95
,,,,,Aspirin-75 mg ,,,
4,Sun Pharmaceutical Industries Ltd.,Aztor ASP (10+75),Tablet    ,1 Tablet,Atorvastatin-10 mg,10 Tablet,22.4,2.24
,,,,,Aspirin-75 mg,,,
5,Panacea Biotec Ltd,Lower A (10+75),Tablet    ,1 Tablet,Atorvastatin-10 mg,10 Tablet,25,2.5
,,,,,Aspirin-75 mg,,,
6,Bestochem Formulations (India) Ltd.,A Vin AS (10+75),Tablet    ,1 Tablet,Atorvastatin-10 mg,10 Tablet,69,6.9
,,,,,Aspirin-75 mg,,,
7,Pinnacle (Lupin Laboratories Ltd.),Tonact ASP (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,18.11,1.81
,,,,,Aspirin-75 mg,,,
8,FDC Limited,Zivast ASP (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,20,2
,,,,,Aspirin-75 mg,,,
9,Shreya Life Sciences Pvt. Ltd,Durastat ASP (75+10),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,20.9,2.09
,,,,,Aspirin-75 mg,,,
10,Skymax Laboratories Pvt.Ltd.,Atosa (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,23,2.3
,,,,,Aspirin-75 mg,,,
11,Macleods Pharmaceuticals Pvt Ltd.,Mactor ASP (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,23.05,2.31
,,,,,Aspirin-75 mg,,,
12,US Vitamins Limited,Ecosprin AV (75+10),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,33.25,3.33
,,,,,Aspirin-75 mg,,,
13,Aristo Pharmaceuticals Pvt Ltd.,Atchol ASP (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,48,4.8
,,,,,Aspirin-75 mg,,,
14,Grandix Pharmaceuticals,A 1A (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,60,6
,,,,,Aspirin-75 mg,,,
15,Intra Labs India Pvt Ltd,Atofast-AS (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,75,7.5
,,,,,Aspirin-75 mg,,,
16,Unisearch (Unichem Laboratories),TG Tor Plus (10+75),Capsule    ,1 Capsule,Aspirin-75 mg,10 Capsule,84.5,8.45
,,,,,Atorvastatin-10 mg,,,
17,Cardiovascular (Ranbaxy Laboratories Ltd),Duocad (10+75),Capsule    ,1 Capsule,Atorvastatin-10 mg,10 Capsule,85,8.5
,,,,,Aspirin-75 mg,,,
