S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Eros Pharma Ltd (Micro Labs Ltd),Theo Salbid (100+2),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,1.85,0.19
,,,,,Theophylline-100 mg,,,
2,Suzikem Drugs Pvt. Ltd.,Saltheo (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,2,0.2
,,,,,Theophylline-100 mg,,,
3,Sunij Pharma Pvt Ltd,Salbusun T (2+100),Tablet    ,1 Tablet,Theophylline-100 mg,10 Tablet,2.24,0.22
,,,,,Salbutamol-2 mg,,,
4,Yash Pharma Laboratories Limited,Ventiphylline (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,2.25,0.23
,,,,,Theophylline-100 mg,,,
5,Bevit Pharmaceuticals Ltd.,Bronkasma (100+2),Tablet    ,1 Tablet,Salbutamol-2 mg,250 Tablet,58.58,0.23
,,,,,Theophylline-100 mg,,,
6,Cosme Medicare (CFL Pharmaceuticals Ltd),Broncophyl Plus (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,3.95,0.4
,,,,,Theophylline-100 mg,,,
7,East African (I) Remedies (P) Ltd.,Theoriv (100+2),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,4,0.4
,,,,,Theophylline-100 mg,,,
8,CFL Pharmaceuticals Ltd,Bronchophyl Plus (100+2),Tablet    ,1 Tablet,Theophylline-100 mg,10 Tablet,4,0.4
,,,,,Salbutamol-2 mg,,,
9,Taj Pharmaceuticals Ltd,Asthom (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,4,0.4
,,,,,Theophylline-100 mg,,,
10,Mac Laboratories Limited,Curamol (100+2),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,4.12,0.41
,,,,,Theophylline-100 mg,,,
11,Pans Laboratories,Let (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,4.5,0.45
,,,,,Theophylline-100 mg,,,
12,Unimarck Pharma (India) Limited,Ventirex Plus (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,5.5,0.55
,,,,,Theophylline-100 mg,,,
13,Cipla Limited,Theo Asthalin (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,15 Tablet,10.73,0.72
,,,,,Theophylline-100 mg,,,
14,Perk Pharmaceuticals Ltd.,Solebeta T (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,200 Tablet,155,0.78
,,,,,Theophylline-100 mg,,,
15,Perk Pharmaceuticals Ltd.,Solbeta T (2+100),Tablet    ,1 Tablet,Salbutamol-2 mg,200 Tablet,155.1,0.78
,,,,,Theophylline-100 mg,,,
16,Synokem Pharmaceuticals Ltd,Broncure (100+2),Tablet    ,1 Tablet,Salbutamol-2 mg,10 Tablet,74,7.4
,,,,,Theophylline-100 mg,,,
17,Liva (Zydus Cadila Healthcare Ltd.),Airomol Liqd (100 ml),Syrup    ,5 ml,Salbutamol-2 mg,100 ml,18.03,0.9
,,,,,Theophylline-100 mg,,,
18,Glaxo Smithkline Pharmaceuticals Ltd.,Bronkoplus (100 ml),Syrup    ,10 ml,Theophylline-100 mg,100 ml,10.68,1.07
,,,,,Salbutamol-2 mg,,,
19,Cipla Limited,Theo Asthalin (100 ml),Syrup    ,10 ml,Salbutamol-2 mg,100 ml,28.15,2.82
,,,,,Theophylline-100 mg,,,
