S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Overseas Health Care Pvt. Ltd.,RHZ Kid Forte (500+100+150),Tablet    ,1 Tablet,Rifampicin-150 mg,10 Tablet,25.09,2.51
,,,,,Isoniazid-100 mg,,,
,,,,,Pyrazinamide-500 mg,,,
2,Lupin Laboratories Ltd.,Rinizide Forte DT (500+100+150),Tablet    ,1 Tablet,Isoniazid-100 mg,10 Tablet,26.65,2.67
,,,,,Pyrazinamide-500 mg,,,
,,,,,Rifampicin-150 mg,,,
3,Osho Pharma Pvt.Ltd.,Orif 3 (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,27.5,2.75
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
4,Hamax Pharmaceuticals,Rinex Z (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,36.3,3.63
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
5,Jarson Pharmaceuticals,Recox Z (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,36.3,3.63
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
6,Pharmed Limited,Riphaldina Z (500+100+150),Tablet    ,1 Tablet,Isoniazid-100 mg,10 Tablet,36.9,3.69
,,,,,Rifampicin-150 mg,,,
,,,,,Pyrazinamide-500 mg,,,
7,Euphoric Pharmaceuticals Pvt.Ltd.,Eufazid (500+100+100),Tablet    ,1 Tablet,Pyrazinamide-500 mg,3 Tablet,11.18,3.73
,,,,,Rifampicin-150 mg,,,
,,,,,Isoniazid-100 mg,,,
8,Sunij Pharma Pvt Ltd,RF 3 (500+100+150),Tablet    ,1 Tablet,Isoniazid-100 mg,10 Tablet,41.66,4.17
,,,,,Rifampicin-150 mg,,,
,,,,,Pyrazinamide-500 mg,,,
9,Alkem Laboratories Ltd,Coxter 3FD (500+150+100),Tablet    ,1 Tablet,Isoniazid-100 mg,10 Tablet,45,4.5
,,,,,Rifampicin-150 mg,,,
,,,,,Pyrazinamide-500 mg,,,
10,Medi Rose,Tibizim Forte (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,100 Tablet,468,4.68
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
11,Mediwin Pharmaceuticals,Rifacil 3 (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,49,4.9
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
12,Aan Pharma Pvt Ltd,T Kox (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,49,4.9
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
13,Chemo Drugs,Tubachem PZ (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,10 Tablet,51,5.1
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
14,Acron Pharmaceuticals,Rifacron 3 (500+100+150),Tablet    ,1 Tablet,Pyrazinamide-500 mg,100 Tablet,525,5.25
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
15,Kopran Pharma Ltd,Rifinex Plus (500+100+150),Tablet    ,1 Tablet,Rifampicin-150 mg,6 Tablet,32.45,5.41
,,,,,Isoniazid-100 mg,,,
,,,,,Pyrazinamide-500 mg,,,
16,Shreya Life Sciences Pvt. Ltd,Montorip (500+100+150),Capsule    ,1 Capsule,Pyrazinamide-500 mg,4 Capsule,18.78,4.7
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
17,Shreya Life Sciences Pvt. Ltd,Torip (500+100+150),Capsule    ,1 Capsule,Pyrazinamide-500 mg,10 Capsule,47,4.7
,,,,,Isoniazid-100 mg,,,
,,,,,Rifampicin-150 mg,,,
