S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,VHB Life Sciences Limited,Moxifen FC (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,18,1.8
2,Oncocare (Cadila Pharmaceuticals Ltd.),Caditam (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,26.6,2.66
3,Miracalus Pharma Pvt Ltd,Xifen (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,27,2.7
4,Cytomed (Alkem Laboratories Ltd),Tomifen (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,28.8,2.88
5,Biological Evans Ltd,Neotam (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,30,3
6,Samarth Pharma Pvt. Ltd.,Valodex (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,30,3
7,Cipla Limited,Cytotam (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,31.2,3.12
8,Alembic Chemical Works Co Ltd,Tamoxifen (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,35,3.5
9,Neon Laboratories Ltd,Entax (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,36,3.6
10,Biochem Pharmaceutical Industrial Ltd,Tamodex (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,36,3.6
11,Chandra Bhagat Pharma Pvt. Ltd.,Blastofen (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,42.9,4.29
12,Khandelwal Laboratories Pvt Ltd.,Mamofen (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,45.68,4.57
13,Cadila Pharmaceuticals Ltd.,Oncotam (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,49.32,4.93
14,Elder Pharmaceuticals Pvt Ltd,Eldtam (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,49.86,4.99
15,Nicholas Piramal India Ltd.,Tevafen (20 mg),Tablet    ,1 Tablet,Tamoxifen-20 mg,10 Tablet,55,5.5
