S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Torrent Pharmaceuticals Ltd.,Amline (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,4.8,0.48
2,Torrent Labs (P) Ltd.,Amiline (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,5,0.5
3,Osho Pharma Pvt.Ltd.,Sereval (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,7,0.7
4,Torrent Labs (P) Ltd.,Tridep (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,8,0.8
5,Aan Pharma Pvt Ltd,Amtran (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,9,0.9
6,Hinglaj Laboratories of India,Amity (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,9,0.9
7,Haryana Formulations (P) Ltd.,Dep (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,10,1
8,Suraksha Pharma,Amsha (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,10,1
9,Densa Pharmaceuticals Pvt.Ltd.,Amitriptyline Hcl (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,100 Tablet,100,1
10,Talent Healthcare,Triplent (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,10,1
11,Consern Pharma Pvt Ltd.,Cotrip (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,12,1.2
12,Cyril Pharmaceuticals,Elavin (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,12,1.2
13,Esteem Pharma.,Estiline (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,13,1.3
14,Sterkem Pharma Pvt Ltd,Typlin (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,13.7,1.37
15,Suraksha Pharma,Amsha Forte (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,14,1.4
16,Elite Pharma Pvt Ltd,Amilite (25 mg),Tablet    ,1 Tablet,Amitriptyline-25 mg,10 Tablet,14,1.4
