S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Innovative Pharmaceuticals,Omnazide (250 mg),Injection    ,1 vial,Ceftazidime-250 mg,7.5 vial,73.5,9.8
2,Jan Aushadhi,Ceftazadime 250 mg (Jan Aushadhi),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,24.99,24.99
3,Reco Drugs,Reozid (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,35,35
4,Leemed Pharma,Ceffguard (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,44,44
5,Zentis Drugs Pvt Ltd,Ceftazen (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,48,48
6,Hauz Pharma Pvt Ltd,Nanocef (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,48,48
7,Nexus (India),Zidnex (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,50,50
8,Brawn Laboratories Ltd.,Erazide (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,58,58
9,Shinto Biotec Ltd,Odime (250 mg),Injection    ,1 vial,Ceftazidime-250 mg,1 vial,60,60
10,Ubit Pharmaceuticals Pvt Ltd,Abit (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,60,60
11,Wiscon Pharmaceutical Pvt Ltd,Ceftastar (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,60,60
12,Multilax Pharmaceuticals Pvt Ltd,Jotadine (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,62,62
13,Albia Biocare,Albozid (250 MG),Injection    ,1 ml,Ceftazidime-250 mg ,1 ml,63.4,63.4
14,IVA Healthcare Pvt Ltd,Ortazid (250 ml),Injection    ,1 Vial,Ceftazidime-250 mg ,1 Vial,65.5,65.5
15,Malar Healthcare,Larzid (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,67,67
16,Cytochem Health Care (India) Pvt. Ltd.,Cytum (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,68,68
17,Alpa/Starry Health Care Pvt. Ltd.,Tarizid (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,69,69
18,Hetero Healthcare Ltd.,Ceftidin (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,69.41,69.41
19,Staunch Biotech,Cef Aid (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,69.9,69.9
20,Trumac Healthcare,Fectim (250 mg),Injection    ,1 ml,Ceftazidime-250 mg ,1 ml,70.7,70.7
21,Medial Pharma Ltd,Zidi (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,73,73
22,Pushkar Pharmaceuticals (P) Ltd,Peceft (250 mg),Injection    ,1 Vial,Ceftazidime-250 mg,1 Vial,73,73
