S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Unicure (India) Pvt.Ltd.,Dub (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,30,3
2,East African (I) Remedies Pvt Ltd,Rivgest M (10 mg),Tablet    ,1 Tablet,Progesterone-10 mg,10 Tablet,37.5,3.75
3,Bewell Labs Pvt Ltd,Perlutal M (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,38.77,3.88
4,West-Coast Pharmaceutical Works,Medona (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,40,4
5,Uni-Sankyo Ltd.,Megest (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,42,4.2
6,Wyeth Ltd.,Empeea (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,42.98,4.3
7,Vibra (Cadila Pharmaceuticals Ltd.),Medtet (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,43,4.3
8,Cronus (VHB Life Science Inc.),Medrigest (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,43,4.3
9,Rekvina Pharmaceuticals,Megestone (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,43.2,4.32
10,Siesta Pharmaceuticals,Tab Litmus (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,44,4.4
11,Siesta Pharmaceuticals,Litmus (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,44,4.4
12,Aarush (Corona Remedies Pvt Ltd),Maxogest (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,45,4.5
13,Obsurge Biotech Limited,Medronorm (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,46,4.6
14,Dewcare Concept,Dubloc (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,48,4.8
15,Glaxo Smithkline Pharmaceuticals Ltd.,Modus (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,49.49,4.95
16,East West Pharma,Embryogen (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,50,5
17,Pharmacia & Upjohn,Farlutal (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,50.36,5.04
18,Rowez Life Sciences Pvt Ltd,Medace,Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg ,10 Tablet,53,5.3
19,Novaduo Pharma,Depro (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,54.5,5.45
20,Nutra Wellness (Genesis Biotec Inc),Geeva (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,55,5.5
21,Cian Healthcare Pvt Ltd,Orgem (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,55,5.5
22,Elder Pharmaceuticals Pvt Ltd,Deviry (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,55,5.5
23,Axis Life Science Pvt Ltd,Mederone (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,100 Tablet,560,5.6
24,Medico Health Care,Regumed (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,56,5.6
25,Serum International Ltd.,Meprate (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,58.4,5.84
26,Pharmacia & Upjohn (India) Pvt Ltd,Provera (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,60.54,6.05
27,Organon (India) Ltd.,Orgamed (10 mg),Tablet    ,1 Tablet,Medroxy Progesterone Acetate-10 mg,10 Tablet,76,7.6
28,Solvay Pharma India Pvt Ltd,Duphaston (10 mg),Tablet    ,1 Tablet,Dydrogesterone-10 mg,10 Tablet,427.5,42.75
