S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,SPM Drugs Pvt. Ltd.,Atrest (5 ML),Injection    ,1 ml,Atracurium Besilate-10 mg ,5 ml,95,19
2,SPM Drugs Pvt. Ltd.,Atrest (2.5 ML),Injection    ,1 ml,Atracurium Besilate-10 mg ,2.5 ml,49,19.6
3,Neon Laboratories Ltd,Artacil (50 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,5 ml,158.4,31.68
4,German Remedies (Zydus Cadila Healthcare Ltd.),Acris (10 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,1 ml,36,36
5,Glaxo Smithkline Pharmaceuticals Ltd.,Tracrium (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,98,39.2
6,Neon Laboratories Ltd,Artacil (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,99,39.6
7,Abbott Healthcare Pvt Ltd (AHPL),Atrelax (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,111,44.4
8,Troikaa Pharmaceuticals Ltd.,Troycurium (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,117,46.8
9,Chandra Bhagat Pharma Pvt. Ltd.,Atcurium (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,119,47.6
10,German Remedies (Zydus Cadila Healthcare Ltd.),Acris (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,137.7,55.08
11,Celon Labs,Arium (50 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,5 ml,281.25,56.25
12,Celon Labs,Arium (25 mg),Injection    ,1 ml,Atracurium Besilate-10 mg,2.5 ml,144,57.6
