S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Acichem Laboratories,Acidrox (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,100 Tablet,40,0.4
2,Robin Pharmaceuticals,Rubycef (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,100 Tablet,47,0.47
3,Madhav Labs,Tidel (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,100 Tablet,59,0.59
4,East African (I) Remedies Pvt Ltd,Cefavir DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,15,1.5
5,Agron Remedies Pvt Ltd (Agrogem),Cefadron-LB (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,100 Tablet,163.7,1.64
6,Jan Aushadhi,Cefadroxil 250 mg (Jan Aushadhi),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,16.63,1.66
7,Corona Laboratories,C Drox (250 mg) (Corona Labs),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,17,1.7
8,Ambicof LS,Ambidrox DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,18,1.8
9,Genvista (Cadila Pharmaceuticals Ltd.),Vistadrox DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,18.56,1.86
10,Aglowmed Ltd,Gigacef DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.3,1.93
11,Intas Pharmaceuticals Ltd.,CDR (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.48,1.95
12,Talent Healthcare,Cefalobid (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.5,1.95
13,Zest Pharma,Sudrox DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.5,1.95
14,Aristo Pharmaceuticals Pvt Ltd.,Cefadrox Kid (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.52,1.95
15,FDC Limited,Zadro DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.56,1.96
16,Taurus Laboratories Pvt. Ltd.,Cefataur (250 mg) (cefadroxil),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.8,1.98
17,Indamed Pharmaceuticals Pvt. Ltd,Fenarox (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,19.9,1.99
18,Gold Cross (Blue Cross Laboratories Ltd.),Bludrox DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
19,Elikem Pharmaceuticals Pvt. Ltd.,Trenax (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
20,Aquila Labs,Aqdrox DS (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
21,Shreeyam Health Care,Vinoxyl DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
22,Scott-Edil Pharmacia Ltd.,Coxil DT,Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
23,Finesse Pharmaceuticals,Drofi (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
24,BRD Medilabs,M Droxil (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
25,Moxy Laboratories Pvt. Ltd.,Droxicef DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
26,Mascot Lifesciences Pvt. Ltd.,Cotdrox (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20,2
27,Bactolac Formulations Pvt. Ltd.,Cedil DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20.06,2.01
28,Sunij Pharma Pvt Ltd,Sunidrox DT (250 mg),Tablet    ,1 Tablet,Cefadroxil-250 mg,10 Tablet,20.24,2.02
