S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Biological Evans Ltd,Binex Z (750+225+150),Tablet    ,1 Tablet,Rifampicin-225 mg+Isoniazid-150 mg+Pyrazinamide-750 mg,,10.21,1.02
,,,,,,,,
,,,,,,,,
2,Lupin Laboratories Ltd.,Rcinex Z (225+150+750),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,17,1.7
,,,,,,,,
,,,,,,,,
3,Sanofi Aventis,Rifatar (225+150+750),Tablet    ,1 Tablet,Pyrazinamide-750 mg +Isoniazid-150 mg +Rifampicin-225 mg ,,17.94,1.79
,,,,,,,,
,,,,,,,,
4,Macleods Pharmaceuticals Pvt Ltd.,Macox ZH (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,16.45,2.74
,,,,,,,,
,,,,,,,,
5,Overseas Health Care Pvt. Ltd.,RHZ Forte (750+150+225),Tablet    ,1 Tablet,Isoniazid-150 mg+Pyrazinamide-750 mg+Rifampicin-225 mg,,36.87,3.69
,,,,,,,,
,,,,,,,,
6,Alde Medi Impex Ltd.,Denex 3 (750+225+150),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,38,3.8
,,,,,,,,
,,,,,,,,
7,Lupin Laboratories Ltd.,R Cinex Z (750+150+225),Tablet    ,1 Tablet,Rifampicin-225 mg+Isoniazid-150 mg+Pyrazinamide-750 mg,,7.75,3.88
,,,,,,,,
,,,,,,,,
8,Osho Pharma Pvt.Ltd.,Orif 3 Forte (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,39.6,3.96
,,,,,,,,
,,,,,,,,
9,Shreya Life Sciences Pvt. Ltd,Montorip Forte (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,41.33,4.13
,,,,,,,,
,,,,,,,,
10,Sierra Pharmaceuticals Ltd.,Stanex 3 (750+225+150),Tablet    ,1 Tablet,Isoniazid-150 mg+Rifampicin-225 mg+Pyrazinamide-750 mg,,44.5,4.45
,,,,,,,,
,,,,,,,,
11,Merind Ltd (Wockhardt Ltd),Caviter Forte (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,45.1,4.51
,,,,,,,,
,,,,,,,,
12,Suzikem Drugs Pvt. Ltd.,Ripcox (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,46,4.6
,,,,,,,,
,,,,,,,,
13,Novartis India Ltd,3Fd (750+150+225),Tablet    ,1 Tablet,Isoniazid-150 mg+Pyrazinamide-750 mg+Rifampicin-225 mg,,49.4,4.94
,,,,,,,,
,,,,,,,,
14,Sandoz (Novartis India Ltd),3 FD (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,49.4,4.94
,,,,,,,,
,,,,,,,,
15,Novartis Pharmaceuticals Ltd.,3FD (750+150+225),Tablet    ,1 Tablet,Isoniazid-150 mg+Pyrazinamide-750 mg+Rifampicin-225 mg,,502,5.02
,,,,,,,,
,,,,,,,,
16,Themis Medicare Ltd.,Tricox (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,51.13,5.11
,,,,,,,,
,,,,,,,,
17,Le Sante (Cadila Pharmaceuticals Ltd.),Mycocox Z (750+150+225),Tablet    ,1 Tablet,Rifampicin-225 mg+Isoniazid-150 mg+Pyrazinamide-750 mg,,51.76,5.18
,,,,,,,,
,,,,,,,,
18,Shinto Biotec Ltd,Tumin Forte (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,53,5.3
,,,,,,,,
,,,,,,,,
19,Zee Laboratories Ltd,Tricinex PZ (750+150+225),Tablet    ,1 Tablet,Rifampicin-225 mg+Isoniazid-150 mg+Pyrazinamide-750 mg,,53,5.3
,,,,,,,,
,,,,,,,,
20,IPCA Laboratories Ltd.,Gocox 3 FC (150+750+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,14.79,7.4
,,,,,,,,
,,,,,,,,
21,Medi Rose,Tibizim SF (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,790,7.9
,,,,,,,,
,,,,,,,,
22,Lancer Health Care Pvt. Ltd.,Lynacox ZH (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,79,7.9
,,,,,,,,
,,,,,,,,
23,Aan Pharma Pvt Ltd,T Kox Plus (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,79,7.9
,,,,,,,,
,,,,,,,,
24,Remed Healthcare (P) Ltd.,Remcox ZH (750+150+225),Tablet    ,1 Tablet,Pyrazinamide-750 mg+Isoniazid-150 mg+Rifampicin-225 mg,,79,7.9
,,,,,,,,
,,,,,,,,
