S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Sun Pharmaceutical Industries Ltd.,OD Phyllin (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,6.9,0.69
2,Zee Laboratories Ltd,Phyne (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,28,2.8
3,Protec (Cipla Ltd),Theoday (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,28.78,2.88
4,Obsurge Biotech Limited,Phylin 1 (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,29.5,2.95
5,Kee Pharma Ltd.,THP 1 SR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,29.8,2.98
6,Tas Med (I) Pvt. Ltd.,Theotas (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,30,3
7,Mefro Pharmaceuticals Pvt Ltd,Theopin CR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,35,3.5
8,Indosurge Biotech,Asma-OD (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,100 Tablet,390,3.9
9,Emcee Pharmaceuticals Pvt.Ltd.,Onimar (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,40,4
10,Strassenburg Pharmaceuticals Ltd.,Lontif CR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,40,4
11,Olcare Laboratories,Klon T (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,40,4
12,Bestochem Formulations (India) Ltd.,TSR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,43.9,4.39
13,Life Medicare & Biotech Pvt. Ltd.,Theoresp (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,44,4.4
14,Captab Biotec,E Fin (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,45,4.5
15,Wockhardt Ltd.,Phyloday (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,45,4.5
16,Ind-Swift Limited,Delin (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,47.5,4.75
17,Intra Labs India Pvt Ltd,Theophylline (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,48,4.8
18,Invision Medi Sciences,Theofil SR (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,50,5
19,Arrowin Pharmaceuticals,Zvtho (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,100 Tablet,558,5.58
20,Globus Remedies Ltd,Theobus (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,62,6.2
21,Kresp (Kopran Pharma Ltd),Vent T (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,68,6.8
22,Modi Mundi Pharma Ltd.,Unicontin E (400 mg),Tablet    ,1 Tablet,Theophylline-400 mg,10 Tablet,95,9.5
23,Inventure (Intra Labs India Pvt Ltd),Theofil (400 mg),Capsule    ,1 Capsule,Theophylline-400 mg,10 Capsule,49.9,4.99
24,Raptakos Brett & Co. Ltd.,Duralyn CR (400 mg),Capsule    ,1 Capsule,Theophylline-400 mg,10 Capsule,53,5.3
