S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Gratia (Micro Labs Ltd),Betagel (Skin) (15 gm),Cream   ,15 gm,Betamethasone-0.05%,15 gm,9.69,9.69
2,Dermocare Laboratories (Guj) Pvt Ltd,Betaderm (Skin) (10 gm),Cream   ,10 gm,Betamethasone-0.05%,10 gm,29,29
3,Gary Pharmaceuticals Pvt. Ltd.,Betanex (20 gm),Cream   ,20 gm,Betamethasone-0.05%,20 gm,29.7,29.7
4,Fulford (India) Ltd.,Diprovate (Skin) (16 gm) (Fulford),Cream   ,16 gm,Betamethasone-0.05%,16 gm,33.6,33.6
5,Croslands (Ranbaxy Laboratories Ltd,Diprovate (Skin) (16 gm) (Croslands),Cream   ,16 gm,Betamethasone-0.05%,16 gm,33.6,33.6
6,Dermocare Laboratories (Guj) Pvt Ltd,Betaderm (Skin) (20 gm),Cream   ,20 gm,Betamethasone-0.05%,20 gm,38,38
7,Gratia (Micro Labs Ltd),Betagel (Skin) (20 gm),Gel    ,20 gm,Betamethasone-0.05%,20 gm,10.67,10.67
8,Gary Pharmaceuticals Pvt. Ltd.,Dermonate,Gel    ,20 gm,Betamethasone-0.05%,20 gm,42,42
9,Dermocare Laboratories (Guj) Pvt Ltd,Pronate (Skin) (15 ml),Solution    ,15 ml,Betamethasone-0.05%,15 ml,22,22
10,Croslands (Ranbaxy Laboratories Ltd,Diprovate (Skin) (30 ml) (Croslands),Lotion    ,30 ml,Betamethasone-0.05%,30 ml,40.75,40.75
11,Fulford (India) Ltd.,Diprovate (Skin) (30 ml),Lotion    ,30 ml,Betamethasone-0.05%,30 ml,40.75,40.75
12,Fulford (India) Ltd.,Diprovate (Skin) (50 ml),Lotion    ,50 ml,Betamethasone-0.05%,50 ml,97,97
13,H&H Pharmaceuticals Pvt Ltd,Propynate (Skin) (50 ml),Lotion    ,50 ml,Betamethasone-0.05% ,50 ml,114.95,114.95
