S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Lupin Laboratories Ltd.,Lupiderm (Skin) (10 gm),Cream   ,10 gm,Betamethasone-0.05% w/w,10 gm,7.17,7.17
2,Merck (India) Ltd (Merck Ltd),Betamil (Skin) (10 gm),Cream   ,10 gm,Betamethasone-0.05% w/w,10 gm,11.29,11.29
3,Shalina Laboratories Ltd,Diproson (Skin) (15 gm),Cream   ,15 gm,Betamethasone-0.05% w/w,15 gm,15.2,15.2
4,Cosme Healthcare (CFL Pharmaceuticals Ltd),Rovate (Skin) (15 gm),Cream   ,15 gm,Betamethasone-0.05% w/w,15 gm,22.82,22.82
5,Bal Pharma Limited,Cortiderm (Skin) (15 gm),Cream   ,15 gm,Betamethasone-0.05% w/w,15 gm,22.9,22.9
6,Nidus Pharma Pvt Ltd,Nidcort (Skin) (20 gm),Cream   ,20 gm,Betamethasone-0.05% w/w,20 gm,32,32
7,Adips Laboratories Ltd.,Azonate (Skin) (20 gm),Cream   ,20 gm,Betamethasone-0.05% w/w,20 gm,36,36
8,Micro Labs Ltd,Betagel (Skin) (15 gm) (Gel),Gel    ,15 gm,Betamethasone-0.05% w/w,15 gm,23.06,23.06
9,Wander Ltd,Dibederm (Skin) (10 gm),Ointment   ,10 gm,Betamethasone-0.05% w/w,10 gm,16.39,16.39
10,Cosme Healthcare (CFL Pharmaceuticals Ltd),Rovate (Skin) (30 ml),Lotion    ,30 ml,Betamethasone-0.05% w/w,30 ml,13.22,13.22
