S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Merind Ltd (Wockhardt Ltd),Cavitar-RHE (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,29.9,2.99
,,,,,,,,
,,,,,,,,
2,Marc Laboratories Pvt. Ltd.,Coxwin 3 (800+450+300),Tablet    ,1 Tablet,Ethambutol-800 mg+Rifampicin-450 mg+Isoniazid-300 mg,,7.11,3.56
,,,,,,,,
,,,,,,,,
3,Wockhardt Ltd.,Wokex 3 (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,7.37,3.69
,,,,,,,,
,,,,,,,,
4,Biological Evans Ltd,Binex E (800+450+300),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg+Ethambutol-800 mg,,9.07,4.54
,,,,,,,,
,,,,,,,,
5,Geneka Biotec,Cure 3 (800+450+300),Tablet    ,1 Tablet,Ethambutol-800 mg+Rifampicin-450 mg+Isoniazid-300 mg,,69,6.9
,,,,,,,,
,,,,,,,,
6,Themis Medicare Ltd.,Thre (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,28.33,7.08
,,,,,,,,
,,,,,,,,
7,Overseas Health Care Pvt. Ltd.,Bicox E (800+450+300),Tablet    ,1 Tablet,Ethambutol-800 mg+Isoniazid-300 mg+Rifampicin-450 mg+Isoniazid-300 mg,,42.85,7.14
,,,,,,,,
,,,,,,,,
8,Lupin Laboratories Ltd.,Rcinex E (300+450+800),Tablet    ,1 Tablet,,,75.3,7.53
,,,,,Rifampicin-450 mg+Ethambutol-800 mg,,,
,,,,,,,,
9,East African (I) Remedies Pvt Ltd,Rufanex 3 (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,75.4,7.54
,,,,,,,,
,,,,,,,,
10,Cadila Pharmaceuticals Ltd.,Mycocox E (300+450+800),Tablet    ,1 Tablet,Ethambutol-800 mg+Rifampicin-450 mg+Isoniazid-300 mg,,47.09,7.85
,,,,,,,,
,,,,,,,,
11,Stanford Biotech Pvt. Ltd,Stanex E (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,239.5,7.98
,,,,,,,,
,,,,,,,,
12,Lupin Laboratories Ltd.,R Cinex E (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,52.3,8.72
,,,,,,,,
,,,,,,,,
13,Medicamen Biotech Ltd.,Klinik 3 (300+450+800),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,270,9
,,,,,,,,
,,,,,,,,
14,Indilina Pharmaceuticals,Mycotube (300+450+800),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg+Ethambutol-800 mg,,58.56,9.76
,,,,,,,,
,,,,,,,,
15,Alpic Remedies Ltd.,Coxbact E (800+450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,395,9.88
,,,,,,,,
,,,,,,,,
16,Sunij Pharma Pvt Ltd,RF HE (Kit),Kit   ,1 kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,7.62,7.62
,,,,,,,,
,,,,,,,,
17,East African (I) Remedies Pvt Ltd,Tubiriv 3 (Kit),Kit   ,1 Kit,Rifampicin-450 mg+Isoniazid-300 mg+Ethambutol-800 mg,,7.67,7.67
,,,,,,,,
,,,,,,,,
18,Novartis India Ltd,Rimactazid +E (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,8.32,8.32
,,,,,,,,
,,,,,,,,
19,Lark Laboratories (India) Ltd.,Afb 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,8.95,8.95
,,,,,,,,
,,,,,,,,
20,Cipla Limited,Coxkit 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,9.03,9.03
,,,,,,,,
,,,,,,,,
21,Sunij Pharma Pvt Ltd,Re He (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,9.04,9.04
,,,,,,,,
,,,,,,,,
22,Glaxo Smithkline Pharmaceuticals Ltd.,Zucox 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,9.08,9.08
,,,,,,,,
,,,,,,,,
23,Lupin Laboratories Ltd.,Akt 3 (Kit),Kit   ,1 Kit,Rifampicin-450 mg+Isoniazid-300 mg+Ethambutol-800 mg,,9.15,9.15
,,,,,,,,
,,,,,,,,
24,Unichem Laboratories Ltd.,Anticox 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,9.24,9.24
,,,,,,,,
,,,,,,,,
25,Nicholas Piramal India Ltd.,Tibetrit (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,9.35,9.35
,,,,,,,,
,,,,,,,,
26,Aristo Pharmaceuticals Pvt Ltd.,Coxina 3 (Kit),Kit   ,1 Kit,Isoniazid-300 mg+Rifampicin-450 mg+Ethambutol-800 mg,,9.43,9.43
,,,,,,,,
,,,,,,,,
