S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Gracure Pharmaceuticals Ltd.,Ascorbic Acid (100 mg) (Gracure Pharma),Tablet    ,1 Tablet,Ascorbic Acid-100 mg,10 Tablet,1.69,0.17
2,Glaxo Smithkline Pharmaceuticals Ltd.,Celin (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,1000 Tablet,169.16,0.17
3,Abbott Healthcare Pvt Ltd (AHPL),Cell C (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,10 Tablet,1.71,0.17
4,Acichem Laboratories,Vitamin C (100 mg),Tablet    ,1 Tablet,Vit C-100 mg,1000 Tablet,350,0.35
5,Modern Laboratories,Ascorbic Acid (100 mg),Tablet    ,1 Tablet,Ascorbic Acid-100 mg,10 Tablet,4,0.4
6,Sunways India Pvt. Ltd.,Ascorbin (30 ml),Drop    ,1 ml,Vit C-100 mg,30 ml,3.25,0.11
7,Pfizer Limited (Pharmacia India Pvt Ltd),Cecon (30 ml),Drop    ,1 ml,Ascorbic Acid-100 mg,30 ml,12.52,0.42
8,Abbott India Ltd.,Cecon (15 ml),Drop    ,1 ml,Vit C-100 mg,15 ml,12.73,0.85
9,Stanmark Pharmaceuticals,Pedivit C (15 ml),Drop    ,1 ml,Ascorbic Acid-100 mg,15 ml,22,1.47
10,SPM Drugs Pvt. Ltd.,Malano (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,2.65,0.53
11,Shalina Laboratories Ltd,Cevite (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,5,1
12,Tablets (India) Limited,Tildoxon (500 mg),Injection    ,1 ml,Ascorbic Acid-100 mg,5 ml,6.4,1.28
