S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Cipla Limited,Tetrabact (500 mg),Tablet    ,1 Tablet,Tetracycline-500 mg,10 Tablet,8.82,0.88
2,Sanofi Aventis,Hostacycline (500 mg),Tablet    ,1 Tablet,Tetracycline-500 mg,10 Tablet,14.1,1.41
3,Tosc International Pvt Ltd.,Tetra Tos (500 mg),Tablet    ,1 Tablet,Tetracycline-500 mg,100 Tablet,217,2.17
4,Mercury Laboratories Ltd.,Linemett (500 mg),Tablet    ,1 Tablet,Tetracycline-500 mg,10 Tablet,23,2.3
5,Abbott Healthcare Pvt Ltd (AHPL),Resteclin Tab (500 mg),Tablet    ,1 Tablet,Tetracycline-500 mg,4 Tablet,9.64,2.41
6,Medoz Pharmaceuticals,Medocycline (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,400 Capsule,300,0.75
7,Deys Medical Stores (Mfg) Ltd,Subamycin (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,4 Capsule,3.65,0.91
8,Cyper Drugs & Pharmaceuticals (P) Ltd.,Tetracycline Hydrochloride (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,10,1
9,Wings Pharmaceuticals (P) Ltd.,Tetracycline (500 mg) (Wings),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,10.5,1.05
10,Jagsonpal Pharmaceuticals Ltd,Terapal (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,10.5,1.05
11,Ind-Swift Limited,Tetlin (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,10.74,1.07
12,Cadila Pharmaceuticals Ltd.,Tetrastar (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,11,1.1
13,Agron Remedies Pvt Ltd (Agrogem),Arcycline (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,100 Capsule,111.7,1.12
14,Laborate Pharmaceuticals India Ltd.,Tetralab (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,11.5,1.15
15,Suzikem Drugs Pvt. Ltd.,Tetlin (500 mg) (Suzikem),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,13.25,1.33
16,Abbott Healthcare Pvt Ltd (AHPL),Resteclin (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,14.02,1.4
17,Lupin Laboratories Ltd.,Lupiterra (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,14.27,1.43
18,Acichem Laboratories,Tetracycline (500 mg) (Acichem),Capsule    ,1 Capsule,Tetracycline-500 mg,100 Capsule,150,1.5
19,Indian Drugs & Pharmaceuticals Ltd.,Idilin (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,17,1.7
20,Acichem Laboratories,Tetra A Forte (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,100 Capsule,180,1.8
21,Modern Laboratories,Tetracycline (500 mg) (Modern),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,18,1.8
22,Bini Laboratories Pvt Ltd,Tetracycline (500 mg) (Bini),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,19,1.9
23,Tosc International Pvt Ltd.,Econocycline (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,20,2
24,Indoco Pharmaceuticals,Dicicyclin (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,4 Capsule,8.56,2.14
25,Modern Laboratories,M Cycline (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,25,2.5
26,Symbiosis Healthcare (Symbiosis Pharmaceuticals Pvt Ltd),Tetrasym (500 mg),Capsule    ,1 Capsule,Tetracycline-500 mg,10 Capsule,109.2,10.92
