S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Mind (Torrent Pharmaceuticals Ltd.),Carbatol CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,18.24,1.82
2,Abbott Healthcare Pvt Ltd (AHPL),Mazetol SR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,18.89,1.89
3,Synapse (Micro Labs Ltd),Versitol RTD (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,19.31,1.93
4,Intas Laboratories Pvt Ltd,Zen Retard (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,19.32,1.93
5,Modi Mundi Pharma Ltd.,Carbacontin (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,19.66,1.97
6,Psyco Remedies.,Antilep CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,20,2
7,Sun Pharmaceutical Industries Ltd.,Zeptol CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,20.16,2.02
8,Crescent Formulations Pvt Ltd (Crescent Therapeutics Ltd. ),Zigma CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,21.15,2.12
9,Pentacare (Alkem Laboratories Ltd),Zepcar CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,28.28,2.83
10,Cyril Pharmaceuticals,Tegtol CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,29.5,2.95
11,Pifer Pharmaceuticals Pvt Ltd,C Lep SR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,29.5,2.95
12,Zeus Pharmaceuticals,Tegril CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,30,3
13,LifeCare Labs Pvt. Ltd.,Zep CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,31.2,3.12
14,Novartis Pharmaceuticals Ltd.,Tegrital CR (300 mg),Tablet    ,1 Tablet,Carbamazepine-300 mg,10 Tablet,31.9,3.19
