S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Jan Aushadhi,Carbamazepine 100 mg (Jan Aushadhi),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,4.8,0.48
2,Mind (Torrent Pharmaceuticals Ltd.),Carbatol (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,6.18,0.62
3,Intas Laboratories Pvt Ltd,Zen (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,6.4,0.64
4,Piramal Healthcare,Mazetol (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,6.69,0.67
5,Sun Pharmaceutical Industries Ltd.,Zeptol (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,6.78,0.68
6,Polaris (Symbiosis Pharmaceuticals Pvt Ltd),Riscarb (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,100 Tablet,70,0.7
7,Synapse (Micro Labs Ltd),Versitol (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,7.32,0.73
8,Crescent Formulations Pvt Ltd (Crescent Therapeutics Ltd. ),Zigma (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,7.76,0.78
9,Elikem Pharmaceuticals Pvt. Ltd.,Evic (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8,0.8
10,Psyco Remedies.,Antilep (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.1,0.81
11,Reliance Formulation Pvt Ltd,Mezaril Kid (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.22,0.82
12,Sun Pharmaceutical Industries Ltd.,Carmaz (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.23,0.82
13,Pifer Pharmaceuticals Pvt Ltd,C Lep (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.5,0.85
14,Sun Pharmaceutical Industries Ltd.,Carmaz Kid (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.62,0.86
15,Pentacare (Alkem Laboratories Ltd),Zepcar DT (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.78,0.88
16,Lifecare Innovations Pvt. Ltd.,Zep Kid (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.79,0.88
17,Megacare (Alembic Chemical Works Co Ltd),Carmeg (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.89,0.89
18,Marc Laboratories Pvt. Ltd.,Fobigone (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.9,0.89
19,Pharmacia India Ltd,Acetol (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,8.9,0.89
20,Themis Chemicals Ltd.,Epinil (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,9.24,0.92
21,Abbott Healthcare Pvt Ltd (AHPL),Mazetol Chew Tab (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,9.64,0.96
22,Aarpik Pharmaceuticals Pvt. Ltd.,Maze Kid (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,9.9,0.99
23,Nexus Biotech,Carz (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,9.97,1
24,Jpee Drugs,Petol (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,64 Tablet,64,1
25,Elite Pharma Pvt Ltd,Megrelite (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,10,1
26,Novartis India Limited,Tegretol Chew Tab (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,10.05,1.01
27,Novartis Pharmaceuticals Ltd.,Tegrital (100 mg),Tablet    ,1 Tablet,Carbamazepine-100 mg,10 Tablet,10.48,1.05
28,Novartis Pharmaceuticals Ltd.,Tegrital (100 ml),Syrup    ,5 ml,Carbamazepine-100 mg,100 ml,21.9,1.1
29,Intas Laboratories Pvt Ltd,Zen (50 ml),Syrup    ,5 ml,Carbamazepine-100 mg,50 ml,11.5,1.15
30,Novartis India Limited,Tegretol (100 ml),Syrup    ,5 ml,Carbamazepine-100 mg,100 ml,38.92,1.95
31,Abbott Healthcare Pvt Ltd (AHPL),Mazetol (100 ml),Syrup    ,5 ml,Carbamazepine-100 mg,100 ml,40.07,2
