S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Marc Laboratories Pvt. Ltd.,Exact ZH kid (60+30+150),Tablet    ,1 Tablet,Pyrazinamide-150 mg+Isoniazid-30 mg+Rifampicin-60 mg,,8.85,0.89
,,,,,,,,
,,,,,,,,
2,Lupin Laboratories Ltd.,Akurit Z Kid (150+30+60),Tablet    ,1 Tablet,Pyrazinamide-150 mg+Isoniazid-30 mg+Rifampicin-60 mg,,7.9,1.32
,,,,,,,,
,,,,,,,,
3,Themis Medicare Ltd.,Tricox Kid (150+30+60),Tablet    ,1 Tablet,Pyrazinamide-150 mg+Isoniazid-30 mg+Rifampicin-60 mg,,82.6,1.38
,,,,,,,,
,,,,,,,,
4,Lupin Laboratories Ltd.,R Cinex Z Kid (150+30+60),Tablet    ,1 Tablet,Pyrazinamide-150 mg+Isoniazid-30 mg+Rifampicin-60 mg,,16.86,1.69
,,,,,,,,
,,,,,,,,
5,Biocin Genetics & Pharma,Actuate Z Kid (150+30+60),Tablet    ,1 Tablet,Pyrazinamide-150 mg+Isoniazid-30 mg+Rifampicin-60 mg,,195,1.95
,,,,,,,,
,,,,,,,,
