S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Torrent Pharmaceuticals Ltd.,Tocofer (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,10.98,1.1
2,Glaxo Smithkline Pharmaceuticals Ltd.,Viteolin (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,30 Capsule,36.18,1.21
3,Dr Reddy Laboratories Ltd,Bio E (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,13.21,1.32
4,Generic (Cadila Pharmaceuticals Ltd.),EEE (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,16.94,1.69
5,Merck (India) Ltd (Merck Ltd),Evion (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,17,1.7
6,Glenmark Pharmaceuticals Ltd.,E Cap (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,17.3,1.73
7,Ind-Swift Limited,Evitop (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,19,1.9
8,Cipla Limited,Evitam Sg (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,19.04,1.9
9,USV Limited.,E Toplex (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,20.77,2.08
10,USV-Corvette (US Vitamins Ltd),Etoplex (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,20.77,2.08
11,Abbott Healthcare Pvt Ltd (AHPL),Ephynal (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,22.11,2.21
12,Alidac Genetics & Pharmaceuticals,Vit E (400 mg),Capsule    ,1 Capsule,Tocopheryl Acetate-400 mg,10 Capsule,22.11,2.21
13,Ben Pharmaceuticals,Benvite (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,32,3.2
14,Royal Labs,Erovit (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,33.65,3.37
15,East African (India) Overseas,Vitriv E (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,39,3.9
16,Abbott India Ltd.,Evit SG (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,59,5.9
17,USV-Corvette (US Vitamins Ltd),Covita (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,62,6.2
18,Elnova Pharma,Novee (400 mg),Capsule    ,1 Capsule,Vit E-400 mg,10 Capsule,72,7.2
