S/N,Manufacturer,Name,Type,Unit(Dose),Constituents/Unit,Package unit,Price(In Rs.),Price/Unit (In Rs.)
1,Sarabhai Chemicals,Siticox INH (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,8.42,2.81
,,,,,,,,
2,Medispan Limited.,Antibin (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,41.54,4.15
,,,,,,,,
3,Agron Remedies Pvt Ltd (Agrogem),Tibrif INH (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,42,4.2
,,,,,,,,
4,Medi Rose,Rifampirose Forte (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,429,4.29
,,,,,,,,
5,Overseas Health Care Pvt. Ltd.,Bicox (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,42.91,4.29
,,,,,,,,
6,Merind Ltd (Wockhardt Ltd),Cavidin INH (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,44.1,4.41
,,,,,,,,
7,Anikem Laboratories,Anicox (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,44.17,4.42
,,,,,,,,
8,Acron Pharmaceuticals,Rifacron Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,46,4.6
,,,,,,,,
9,Emcure Pharmaceuticals Ltd.,Zucox Z (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,46,4.6
,,,,,,,,
10,Themis Medicare Ltd.,Ticinex (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,46.05,4.61
,,,,,,,,
11,Shreya Life Sciences Pvt. Ltd,Monto 2 (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,46.25,4.63
,,,,,,,,
12,Sunij Pharma Pvt Ltd,RF Compound (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,46.46,4.65
,,,,,,,,
13,Novartis India Ltd,Rimactazid (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,19.16,4.79
,,,,,,,,
14,Chemo Drugs,Tubachem (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,48,4.8
,,,,,,,,
15,Brilliant Lifesciences Pvt Ltd,Ripim plus,Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,49,4.9
,,,,,,,,
16,Hamax Pharmaceuticals,Rinex (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,49.6,4.96
,,,,,,,,
17,Stanford Biotech Pvt. Ltd,Stanex 2 (450+300,Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,49.8,4.98
,,,,,,,,
18,Suzikem Drugs Pvt. Ltd.,Ripcox Forte (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,50,5
,,,,,,,,
19,Elikem Pharmaceuticals Pvt. Ltd.,Ripim Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,50,5
,,,,,,,,
20,Kentreck Labs Pvt Ltd.,Rimpek Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,50.35,5.04
,,,,,,,,
21,Osho Pharma Pvt.Ltd.,Osorifa Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,50.4,5.04
,,,,,,,,
22,Psyco Remedies.,Rifacox H (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,51.5,5.15
,,,,,,,,
23,Macleods Pharmaceuticals Pvt Ltd.,Macox Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,31.17,5.2
,,,,,,,,
24,Nucleus Laboratories (India) Ltd.,Ne2nex (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,52,5.2
,,,,,,,,
25,Orison Pharmaceuticals,Mush (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,52,5.2
,,,,,,,,
26,Zydus Cadila Healthcare Ltd,Cadi Rifa (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,1 054.20,5.27
,,,,,,,,
27,Dyochem Laboratories,Isorif (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,53,5.3
,,,,,,,,
28,Emcure Pharmaceuticals Ltd.,Emrif (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,53.75,5.38
,,,,,,,,
29,Reliance Formulation Pvt Ltd,Rifarin Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,53.89,5.39
,,,,,,,,
30,Geneka Biotec,Cure 2 (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,54,5.4
,,,,,,,,
31,Eden Healthcare,Rifaden Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,542,5.42
,,,,,,,,
32,Jarson Pharmaceuticals,Recox (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,54.35,5.44
,,,,,,,,
33,Rextar (Ranbaxy Laboratories Ltd),Tibirim INH (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,16.33,5.44
,,,,,,,,
34,Biological Evans Ltd,Binex (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,54.6,5.46
,,,,,,,,
35,Pharmed Limited,Riphaldina (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,54.9,5.49
,,,,,,,,
36,Agron Remedies Pvt Ltd (Agrogem),Tibirif INH (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55,5.5
,,,,,,,,
37,Alpic Biotech Ltd.,Coxpic (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55,5.5
,,,,,,,,
38,Biochem Pharmaceutical Industrial Ltd,Isorifam (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.05,5.51
,,,,,,,,
39,Indoco Remedies Ltd,Rifacom (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.27,5.53
,,,,,,,,
40,Cadila Healthcare (Zydus Cadila Healthcare Ltd),Rimpazid (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.35,5.54
,,,,,,,,
41,Alkem Laboratories Ltd,Coxter 2 (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.35,5.54
,,,,,,,,
42,Emcure Pharmaceuticals Ltd.,Zucox 2 (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.35,5.54
,,,,,,,,
43,Le Sante (Cadila Pharmaceuticals Ltd.),Mycocox (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.35,5.54
,,,,,,,,
44,Bal Pharma Limited,R Zid (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,55.96,5.6
,,,,,,,,
45,Euphoric Pharmaceuticals Pvt.Ltd.,Efuacin (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,56,5.6
,,,,,,,,
46,Plethico Pharmaceuticals,Montonex F (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,56.01,5.6
,,,,,,,,
47,Unichem Laboratories Ltd.,Anticox II (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,22.49,5.62
,,,,,,,,
48,Zee Laboratories Ltd,Isocin (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,57,5.7
,,,,,,,,
49,Shinto Biotec Ltd,Tumin H (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,57,5.7
,,,,,,,,
50,Shrinivas (Gujarat) Laboratories Pvt. Ltd.,Vicox 2 (450+300),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,575,5.75
,,,,,,,,
51,Cipla Limited,Rifex (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,60.49,6.05
,,,,,,,,
52,Alde Medi Impex Ltd.,Denex Forte (450+300),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,61,6.1
,,,,,,,,
53,Lupin Laboratories Ltd.,Akt 2 (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,61.5,6.15
,,,,,,,,
54,Marc Laboratories Pvt. Ltd.,Meinex (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,63,6.3
,,,,,,,,
55,Briskon Laboratories,Tubercin Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,63,6.3
,,,,,,,,
56,Sanofi Aventis,Rifadin INH (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,44.49,6.36
,,,,,,,,
57,Biocin Genetics & Pharma,Bionex Plus (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,640,6.4
,,,,,,,,
58,Kresp (Kopran Pharma Ltd),Rifinex (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,64.25,6.43
,,,,,,,,
59,Indian Drugs & Pharmaceuticals Ltd.,Famcin H (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,64.36,6.44
,,,,,,,,
60,Prayas Pharmaceuticals,Rizide (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,650,6.5
,,,,,,,,
61,Asian Pharmaceuticals Pvt. Ltd.,NKT Plus (450+300),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,65,6.5
,,,,,,,,
62,Ajanta Pharma Ltd.,Anacox Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,26,6.5
,,,,,,,,
63,Bal Pharma Limited,Rzid (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,656,6.56
,,,,,,,,
64,Maitri Healthcare Pvt. Ltd.,M TB (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,665,6.65
,,,,,,,,
65,Zota Pharmaceuticals (Zota Healthcare Pvt Ltd),Z Cox Plus (300+450),Tablet    ,1 Tablet,Rifampicin-450 mg+Isoniazid-300 mg,,67,6.7
,,,,,,,,
66,Tosc International Pvt Ltd.,Twinculor (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,676,6.76
,,,,,,,,
67,Medihands Pharmaceuticals,Cekox (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,680,6.8
,,,,,,,,
68,Lancer Health Care Pvt. Ltd.,Lynacox (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,68,6.8
,,,,,,,,
69,Remed Healthcare (P) Ltd.,Remcox (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,68,6.8
,,,,,,,,
70,Aan Pharma Pvt Ltd,Rikox (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,68,6.8
,,,,,,,,
71,Mexon Healthcare Ltd.,Mexcox Plus (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,687,6.87
,,,,,,,,
72,Alpic Remedies Ltd.,Coxbact 2 (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,69,6.9
,,,,,,,,
73,Park Pharmaceuticals,Parkox (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,695,6.95
,,,,,,,,
74,Terrace Pharmaceuticals (P) Ltd,Optimat (300+450),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,70,7
,,,,,,,,
75,Pramukh Swami Pharma Ltd.,Niclox Plus (450+300),Tablet    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,30,7.5
,,,,,,,,
76,Pans Laboratories,Carin (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,26,2.6
,,,,,,,,
77,Albert David Limited,Arzade (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,13.8,3.45
,,,,,,,,
78,Pharma Synth Formulations Ltd.,Coxyzide (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,42,4.2
,,,,,,,,
79,Radicura Pharmaceutical Pvt. Ltd.,Rifaplus In (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,43.51,4.35
,,,,,,,,
80,Zenlabs India,Rifnex (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,452,4.52
,,,,,,,,
81,Lupin Laboratories Ltd.,R Cinex (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,49.35,4.94
,,,,,,,,
82,Shreya Life Sciences Pvt. Ltd,Montonex Forte (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,20.8,5.2
,,,,,,,,
83,Smilax Pharmaceuticals,Zadcox Plus (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,54,5.4
,,,,,,,,
84,Bindlysh Biotech Ltd,Coxibin Plus (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,54,5.4
,,,,,,,,
85,Biochem Pharmaceutical Industrial Ltd,Isofiram (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,55,5.5
,,,,,,,,
86,Pharmed Limited,ISO Ripharmed (300+450),Capsule    ,1 Capsule,Rifampicin-450 mg+Isoniazid-300 mg,,22.42,5.61
,,,,,,,,
87,Aristo Pharmaceuticals Pvt Ltd.,Coxines (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,56.88,5.69
,,,,,,,,
88,Lupin Laboratories Ltd.,Rcinex (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,56.95,5.7
,,,,,,,,
89,Zee Laboratories Ltd,Tricinex (300+450),Capsule    ,1 Capsule,Rifampicin-450 mg+Isoniazid-300 mg,,58,5.8
,,,,,,,,
90,Vostok & Wilcure Remedies,Wycox (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,59.5,5.95
,,,,,,,,
91,Acichem Laboratories,Rifazid A Forte (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,600,6
,,,,,,,,
92,Sierra Pharmaceuticals Ltd.,Secox 2 (450+300),Capsule    ,1 Tablet,Isoniazid-300 mg+Rifampicin-450 mg,,63,6.3
,,,,,,,,
93,Kopran Pharma Ltd,Rifinex Cap (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,63.46,6.35
,,,,,,,,
94,Glaxo Smithkline Pharmaceuticals Ltd.,Zucox Plus (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,63.94,6.39
,,,,,,,,
95,Aristo Pharmaceuticals Pvt Ltd.,Coxinex (450+300),Capsule    ,1 Capsule,Rifampicin-450 mg+Isoniazid-300 mg,,65.14,6.51
,,,,,,,,
96,Lyka Hetero Healthcare Ltd.,Rimpinah (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,26.29,6.57
,,,,,,,,
97,Assam Chemical & Pharmaceutical Pvt.Ltd.,Afarcin S (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,66.7,6.67
,,,,,,,,
98,East African (I) Remedies (P) Ltd.,Rufanex (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,67,6.7
,,,,,,,,
99,Unicure (India) Pvt.Ltd.,N Cox Plus (300+450),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,67.5,6.75
,,,,,,,,
100,Alkem Laboratories Ltd,Rifakem INH (300+450),Capsule    ,1 Capsule,Rifampicin-450 mg+Isoniazid-300 mg,,67.74,6.77
,,,,,,,,
101,S.S. Pharmaceuticals (P) Ltd.,Emite (450+300),Capsule    ,1 Capsule,Isoniazid-300 mg+Rifampicin-450 mg,,70,7
,,,,,,,,
102,Unicure (India) Pvt.Ltd.,Rifampicin & Isoniazid (300+450),Capsule    ,1 Capsule,Rifampicin-450 mg+Isoniazid-300 mg,,31.92,7.98
,,,,,,,,
